* python3-absl 2.1.0 2.1.0 Up-to-date
    - python3-astroid: upgrade 2.11.0 -> 2.11.2 | 2.11.2 | U | Default | 2022-03-30
    - python3-astroid: upgrade 2.10.0 -> 2.11.0 | 2.11.0 | U | Default | 2022-03-17
    - python3-astroid: upgrade 2.9.3 -> 2.10.0 | 2.10.0 | U | Default | 2022-03-10
    - python3-astroid: Upgrade 2.9.2 -> 2.9.3 | 2.9.3 | U | Default | 2022-01-12
    - python3-astroid: Upgrade 2.9.0 -> 2.9.2 | 2.9.2 | U | Default | 2022-01-10
    - python3-astroid: update to 2.9.0 | 2.9.0 | U | Default | 2021-12-13
    - python3-astroid: Upgrade 2.8.4 -> 2.8.5 | 2.8.5 | U | Default | 2021-11-16
    - python3-astroid: Upgrade 2.8.2 -> 2.8.4 | 2.8.4 | U | Default | 2021-11-04
    - python3-astroid: update to 2.8.2 | 2.8.2 | U | Default | 2021-10-18
    - Initial import at master release start. | 2.7.1 | U | Default | 2021-09-24
* python3-async-timeout 4.0.3 4.0.3 Up-to-date
    - python3-django: remove unneeded distutils dependency | 4.0.3 | U | Default | 2023-12-19
    - python3-async-timeout: remove old version of the library | 4.0.0 | N | Default | 2023-09-26
    - python3-async-timeout: upgrade 4.0.2 -> 4.0.3 | 4.0.3 | U | Default | 2023-08-16
    - python3-flask-sijax: stop using PYTHON_PN | 4.0.0 | D | Default | 2023-06-24
    - python-idna-ssl: add missing run-time dependencies | 4.0.2 | U | Default | 2023-06-24
    - python3-pyruvate: Upgrade to 1.2.1 | 4.0.0 | D | Default | 2023-04-08
    - python3-pyruvate: regenerate with updated bbclass | 4.0.2 | U | Default | 2023-04-07
    - python3-pyruvate: Add crates checksum and use cargo-update-recipes-crates | 4.0.0 | D | Default | 2023-03-18
    - python3-async-timeout: upgrade 4.0.0 -> 4.0.2 | 4.0.2 | U | Default | 2022-01-21
    - python3-async-timeout: upgrade 3.0.1 -> 4.0.0 | 4.0.0 | U | Default | 2021-11-11
    - Initial import at master release start. | 3.0.1 | U | Default | 2021-09-24
* python3-asyncinotify 4.2.0 4.3.2 Not updated
    - python3-asyncinotify: upgrade 4.1.0 -> 4.2.0 | 4.2.0 | U | Default | 2024-10-14
